Name,Market Cap
ASIANPAINT.NS,2.8659E+12
AXISBANK.NS,2.14285E+12
BAJAJFINSV.NS,2.49987E+12
BAJFINANCE.NS,4.02389E+12
BHARTIARTL.NS,4.1349E+12
DRREDDY.NS,6.47188E+11
HCLTECH.NS,3.19358E+12
HDFC.NS,4.06033E+12
HDFCBANK.NS,7.89431E+12
HINDUNILVR.NS,4.78997E+12
ICICIBANK.NS,4.84428E+12
INDUSINDBK.NS,6.94592E+11
INFY.NS,7.70939E+12
ITC.NS,2.931E+12
KOTAKBANK.NS,3.4404E+12
LT.NS,2.44949E+12
M&M.NS,9.46316E+11
MARUTI.NS,2.24146E+12
NESTLEIND.NS,1.68357E+12
NTPC.NS,1.27075E+12
POWERGRID.NS,1.4624E+12
RELIANCE.NS,1.59911E+13
SBIN.NS,4.33602E+12
SUNPHARMA.NS,2.13936E+12
TATASTEEL.NS,1.51254E+12
TCS.NS,1.3294E+13
TECHM.NS,1.41685E+12
TITAN.NS,2.27002E+12
ULTRACEMCO.NS,1.73638E+12
WIPRO.NS,3.21245E+12
